primary_isin,year
US9032361076,2018
US9032361076,2020
US20337X1090,2021
US20337X1090,2020
US20337X1090,2019
US20337X1090,2018
US23331A1097,2020
US23331A1097,2021
US23331A1097,2019
US23331A1097,2018
US00130H1059,2021
US00130H1059,2020
US00130H1059,2019
US00130H1059,2018
US126149AD59,2020
US126149AD59,2019
US126149AD59,2018
US126149AD59,2021
US60855R1005,2021
US60855R1005,2019
US60855R1005,2018
US60855R1005,2020
US00826T1088,2021
US00826T1088,2019
US00826T1088,2018
US00826T1088,2020
US54318P1084,2021
US54318P1084,2019
US54318P1084,2018
US54318P1084,2020
US45778Q1076,2021
US45778Q1076,2019
US45778Q1076,2018
US45778Q1076,2020
US29355X1072,2021
US29355X1072,2020
US29355X1072,2019
US29355X1072,2018
US86815V1052,2020
US86815V1052,2021
US86815V1052,2019
US86815V1052,2018
US2240511020,2020
US2240511020,2021
US2240511020,2019
US2240511020,2018
US7010816061,2021
US7010816061,2020
US7010816061,2019
US7010816061,2018
US87157D1090,2021
US87157D1090,2020
US87157D1090,2019
US87157D1090,2018
US94604J1016,2021
US94604J1016,2019
US94604J1016,2018
US94604J1016,2020
US0323591018,2021
US0323591018,2020
US0323591018,2019
US0323591018,2018
US8872281048,2020
US8872281048,2021
US8872281048,2019
US8872281048,2018
US9724871028,2021
US9724871028,2019
US9724871028,2018
US9724871028,2020
US4449031081,2021
US4449031081,2020
US4449031081,2019
US4449031081,2018
US9002624032,2021
US9002624032,2020
US9002624032,2019
US9002624032,2018
US00101D1090,2021
US00101D1090,2020
US00101D1090,2019
US00101D1090,2018
US4626131001,2021
US4626131001,2020
US4626131001,2019
US4626131001,2018
US00829WAA62,2021
US00829WAA62,2020
US00829WAA62,2019
US00829WAA62,2018
US00828BAA35,2021
US00828BAA35,2020
US00828BAA35,2019
US00828BAA35,2018
US0162751095,2021
US0162751095,2020
US0162751095,2019
US0162751095,2018
US0476491081,2021
US0476491081,2020
US0476491081,2019
US0476491081,2018
US035287AA99,2021
US035287AA99,2020
US035287AA99,2019
US035287AA99,2018
US088609AA08,2021
US088609AA08,2019
US088609AA08,2018
US088609AA08,2020
US15941R1005,2021
US15941R1005,2020
US15941R1005,2019
US15941R1005,2018
US1628093056,2021
US1628093056,2020
US1628093056,2019
US1628093056,2018
US185401AA44,2021
US185401AA44,2019
US185401AA44,2018
US185401AA44,2020
US199300AA21,2021
US199300AA21,2020
US199300AA21,2019
US199300AA21,2018
US22160N1090,2021
US22160N1090,2019
US22160N1090,2018
US22160N1090,2020
US785583AA33,2021
US785583AA33,2020
US785583AA33,2019
US785583AA33,2018
US785592AA40,2021
US785592AA40,2020
US785592AA40,2019
US785592AA40,2018
US21925AAA34,2021
US21925AAA34,2020
US21925AAA34,2019
US21925AAA34,2018
US134638AA39,2021
US134638AA39,2020
US134638AA39,2019
US134638AA39,2018
US5895841014,2021
US5895841014,2020
US5895841014,2019
US5895841014,2018
US9035121014,2021
US9035121014,2020
US9035121014,2019
US9035121014,2018
US11040G1031,2021
US11040G1031,2020
US11040G1031,2019
US11040G1031,2018
US297599AA07,2021
US297599AA07,2020
US297599AA07,2019
US297599AA07,2018
US30283W2035,2021
US30283W2035,2020
US30283W2035,2019
US30283W2035,2018
US31660B1017,2021
US31660B1017,2020
US31660B1017,2019
US31660B1017,2018
US60467PAA21,2021
US60467PAA21,2020
US60467PAA21,2019
US60467PAA21,2018
US37953G1031,2021
US37953G1031,2020
US37953G1031,2019
US37953G1031,2018
US37253DAA54,2021
US37253DAA54,2020
US37253DAA54,2019
US37253DAA54,2018
US4885351050,2021
US4885351050,2020
US4885351050,2019
US4885351050,2018
US500605AA89,2021
US500605AA89,2020
US500605AA89,2019
US500605AA89,2018
US580638AA25,2021
US580638AA25,2020
US580638AA25,2019
US580638AA25,2018
US56656PAA12,2021
US56656PAA12,2020
US56656PAA12,2019
US56656PAA12,2018
US5210501046,2021
US5210501046,2020
US5210501046,2019
US5210501046,2018
US68403RAA86,2021
US68403RAA86,2020
US68403RAA86,2019
US68403RAA86,2018
US695229AA26,2021
US695229AA26,2020
US695229AA26,2019
US695229AA26,2018
US725143AA99,2021
US725143AA99,2020
US725143AA99,2019
US725143AA99,2018
US3535141028,2021
US3535141028,2019
US3535141028,2018
US3535141028,2020
US7453101021,2021
US7453101021,2020
US7453101021,2019
US7453101021,2018
US7499511092,2021
US7499511092,2020
